"personal_id","Disease_1","Disease_2","Disease_3","Disease_4","Disease_5","Disease_6","Disease_7","Disease_8","Disease_9","Disease_10","Status"
"800705-2614495",0,0,0,1,1,1,0,1,1,1,"equal"
"920323-4673725",0,1,1,0,0,0,0,1,0,1,"equal"
"641212-3300418",1,1,0,0,1,0,0,0,1,0,"equal"
"730815-3351125",1,0,0,0,1,1,0,1,1,1,"equal"
"930617-3429130",1,1,1,0,1,0,1,0,0,0,"equal"
"541215-2383327",1,1,0,0,0,0,1,1,1,0,"equal"
"590107-2277967",1,1,0,1,0,0,0,1,1,0,"equal"
"630611-1829354",0,1,1,0,0,0,1,1,0,0,"equal"
"910108-2954808",0,1,1,1,1,0,0,1,0,0,"equal"
"540501-3026541",1,1,0,0,1,1,1,1,0,1,"equal"
"880202-3131979",0,0,0,1,1,1,1,1,1,1,"equal"
"710811-1796001",0,1,0,1,0,1,1,0,0,1,"equal"
"560526-2510276",1,0,1,1,1,1,0,0,1,1,"equal"
"690101-4892242",0,0,1,0,0,0,0,1,0,1,"equal"
"500807-3672078",0,1,1,0,1,1,0,1,1,1,"equal"
"610427-3464747",0,0,0,1,0,1,1,0,0,1,"equal"
"771227-2967072",1,1,1,1,1,0,0,0,0,1,"equal"
"580716-3483882",0,0,0,1,0,1,0,1,1,0,"equal"
"530401-1422279",0,1,1,1,0,0,1,0,1,0,"equal"
"790712-1304675",1,1,1,1,0,0,1,0,1,0,"equal"
"911016-1491984",1,0,0,0,1,0,0,1,1,1,"equal"
"910814-2155323",0,1,1,0,0,1,0,0,0,0,"equal"
"811215-1748967",0,0,0,1,1,0,1,1,0,1,"equal"
"850528-3598196",0,0,1,0,0,1,1,1,0,0,"equal"
"560522-4760677",1,1,1,0,0,1,1,0,1,0,"equal"
"690727-1402000",1,0,0,1,1,0,1,1,0,0,"equal"
"950823-2700057",0,0,0,0,0,0,0,0,0,1,"equal"
"831028-3909580",0,0,0,0,1,0,1,0,0,0,"equal"
"500822-4497048",1,0,1,0,0,1,1,1,0,1,"equal"
"620123-3943408",0,0,0,0,1,1,0,0,1,1,"equal"
"500805-2833123",1,1,0,0,0,1,1,1,1,0,"equal"
"720824-4927428",0,0,0,0,1,0,0,1,1,0,"equal"
"720504-1735377",0,0,0,1,1,1,1,0,1,1,"equal"
"860806-2001823",0,0,1,0,0,1,0,1,0,0,"equal"
"970328-4544513",1,0,0,1,1,0,1,0,0,1,"equal"
"740513-4774569",0,1,1,1,1,0,0,0,1,0,"equal"
"840417-4456598",0,0,0,0,1,0,0,1,1,1,"equal"
"561112-2574065",0,0,0,1,1,1,0,1,0,0,"equal"
"820428-1908074",1,0,1,0,1,0,0,0,0,1,"equal"
"501112-4507335",0,1,1,1,1,1,1,1,0,0,"equal"
"900809-3768674",1,1,1,1,1,1,0,0,0,1,"equal"
"680621-1157152",1,1,1,0,0,1,1,0,0,0,"equal"
"520821-2141300",0,0,1,1,1,0,1,1,0,0,"equal"
"611009-2123852",0,1,0,1,0,1,1,0,1,0,"equal"
"680815-2639135",0,0,1,0,0,0,0,0,1,1,"equal"
"540909-3741236",0,0,1,0,1,1,1,0,1,0,"equal"
"891019-3732259",0,1,0,1,0,0,1,0,0,1,"equal"
"950814-1310161",0,0,1,1,1,1,1,1,1,0,"equal"
"960615-3573641",1,0,0,1,1,1,1,1,0,0,"equal"
"830212-1345276",0,0,1,1,0,0,0,0,0,0,"equal"
"840918-2518516",1,0,1,1,1,1,0,0,1,1,"equal"
"601104-3332420",1,1,1,0,1,1,0,0,1,0,"equal"
"630411-3397469",1,0,1,1,1,1,0,0,1,0,"equal"
"961115-3024463",0,0,1,1,1,0,0,0,0,0,"equal"
"700423-2061240",1,1,0,0,0,0,1,0,0,0,"equal"
"820207-4499822",1,1,0,0,0,1,0,1,0,1,"equal"
"980402-4297109",1,0,0,1,0,0,1,1,1,1,"equal"
"680210-2657081",0,0,0,1,0,1,1,1,0,1,"equal"
"660412-3474428",0,0,1,0,1,0,0,1,0,1,"equal"
"850218-3576210",1,0,0,0,1,0,0,0,0,1,"equal"
"500618-4366541",1,1,0,1,1,1,0,0,1,0,"equal"
"840723-1097598",1,0,0,0,0,1,0,0,0,0,"equal"
"820820-2217199",1,1,1,1,0,0,1,0,0,1,"equal"
"960907-4509751",0,1,0,1,1,0,0,0,1,1,"equal"
"590424-2225889",0,0,1,0,1,0,1,0,0,1,"equal"
"600322-3837116",0,1,0,0,0,1,1,1,1,1,"equal"
"631207-2814718",0,1,1,0,1,1,1,1,0,0,"equal"
"780320-4914395",1,1,1,1,1,0,0,1,0,1,"equal"
"540717-4428732",0,1,0,0,1,0,1,1,0,0,"equal"
"780620-4790752",0,0,0,0,1,0,1,1,0,1,"equal"
"670801-1015265",1,0,0,0,0,1,1,0,1,1,"equal"
"640523-1055099",0,0,1,1,1,0,0,1,0,1,"equal"
"800618-4656019",1,0,0,0,0,1,1,0,0,1,"equal"
"940219-4951358",1,1,0,0,0,0,1,1,0,1,"equal"
"770902-4064334",1,0,0,0,1,0,1,1,0,1,"equal"
"921006-3337438",0,1,1,0,0,1,1,0,0,0,"equal"
"730802-4526033",0,1,1,0,1,1,1,1,0,1,"equal"
"730911-3312104",0,0,1,1,0,1,1,1,1,0,"equal"
"770211-4578660",1,0,0,0,0,1,0,1,1,0,"equal"
"920905-1530534",1,0,1,1,1,1,1,1,1,0,"equal"
"650718-3219514",0,1,1,0,1,1,0,0,1,0,"equal"
"920320-3201112",0,0,0,0,1,1,0,0,1,0,"equal"
"790111-2281103",0,1,1,0,1,0,1,0,0,1,"equal"
"950212-1421190",0,0,0,1,1,1,0,1,1,1,"equal"
"711118-1703255",1,0,1,1,1,0,0,1,0,0,"equal"
"850424-4560463",0,0,0,0,1,0,1,1,0,0,"equal"
"840424-2593166",1,1,1,1,1,1,0,0,1,0,"equal"
"641210-1068616",1,1,1,0,0,0,0,0,0,0,"equal"
"720521-1656829",0,1,0,1,0,1,1,0,1,0,"equal"
"530418-2941749",1,1,1,0,0,0,0,0,0,0,"equal"
"691218-1132824",0,1,0,1,1,0,1,1,0,1,"equal"
"960924-3623900",1,0,1,1,1,1,0,1,0,1,"equal"
"831105-3174010",1,1,0,0,0,0,0,0,0,1,"equal"
"971218-1314786",1,0,1,0,1,0,0,1,1,1,"equal"
"621028-3552653",1,1,1,1,1,0,0,0,0,0,"equal"
"900103-4381140",1,1,1,0,1,1,0,0,1,0,"equal"
"630722-1580162",0,1,0,1,1,0,1,1,0,0,"equal"
"560211-4490077",1,0,0,0,1,1,1,1,1,0,"equal"
"880507-3213541",1,1,0,0,0,0,0,1,1,1,"equal"
"970913-4004619",0,1,0,0,1,0,1,0,0,1,"equal"
"660511-4665545",0,1,0,0,1,1,0,0,1,0,"equal"
"731204-2706872",0,1,1,0,0,1,0,1,0,0,"equal"
"781108-2510881",1,1,1,1,0,1,1,0,0,1,"equal"
"720917-3605884",0,1,1,1,0,0,0,0,1,0,"equal"
"520824-1183128",0,0,1,1,1,1,1,1,1,0,"equal"
"680811-2082889",1,0,0,1,1,0,1,1,1,1,"equal"
"750614-1191048",1,0,1,0,0,0,1,0,0,0,"equal"
"960515-2683022",0,1,1,0,0,0,1,0,0,0,"equal"
"990401-1693909",0,1,0,0,0,1,0,1,1,1,"equal"
"711119-1110043",1,0,1,0,1,1,1,0,1,0,"equal"
"581221-2436935",0,0,0,0,1,0,1,0,1,1,"equal"
"880601-2698797",1,0,0,1,1,1,1,1,0,1,"equal"
"840506-3826676",0,1,1,0,0,1,0,1,1,0,"equal"
"830102-1658360",1,0,1,1,0,0,0,1,0,1,"equal"
"610311-1256003",1,1,1,0,1,1,1,0,1,0,"equal"
"860814-3055048",0,0,1,0,1,0,1,1,0,1,"equal"
